crop_type,state,year,month,avg_price_per_tonne,min_price_per_tonne,max_price_per_tonne
Rice,Punjab,2021,10,19043.07,17368.18,21408.7
Rice,Uttar Pradesh,2022,4,21740.24,18848.53,23251.13
Sugarcane,Uttar Pradesh,2024,2,4007.13,3770.0,4511.51
Maize,Punjab,2020,11,17858.87,16246.49,19920.02
Cotton,Maharashtra,2020,3,61024.25,55729.73,65030.35
Cotton,Karnataka,2023,1,63803.6,57256.85,71564.65
Cotton,Madhya Pradesh,2021,6,57069.01,50299.64,61300.68
Maize,Maharashtra,2022,1,18313.12,15959.72,20006.81
Cotton,Uttar Pradesh,2022,3,62962.95,54701.71,66595.73
Cotton,Uttar Pradesh,2021,12,59681.26,54883.82,64949.91
Rice,Maharashtra,2023,2,22242.84,20677.48,23959.87
Sugarcane,Karnataka,2022,10,3569.06,3280.81,3841.76
Rice,Punjab,2023,7,19551.84,17253.54,21056.38
Sugarcane,Karnataka,2022,7,3621.32,3147.26,4053.94
Maize,Karnataka,2020,9,17588.89,15416.02,19632.66
Rice,Punjab,2023,10,17266.17,16083.33,19472.83
Cotton,Madhya Pradesh,2020,6,57483.88,49369.37,64375.9
Wheat,Uttar Pradesh,2020,12,23520.23,20858.56,25713.13
Wheat,Karnataka,2023,1,24870.62,21236.97,27772.64
Rice,Uttar Pradesh,2024,10,17433.86,15381.94,19870.97
Rice,Maharashtra,2022,12,19670.55,18492.21,22613.57
Cotton,Maharashtra,2020,10,52249.5,48724.83,59276.39
Sugarcane,Punjab,2022,2,3961.29,3393.74,4196.95
Wheat,Punjab,2022,12,20750.87,19711.03,22466.22
Cotton,Uttar Pradesh,2022,10,54327.5,50839.8,62463.74
Sugarcane,Uttar Pradesh,2024,6,3747.18,3275.6,3949.66
Wheat,Madhya Pradesh,2022,4,24699.32,21049.81,26824.52
Wheat,Uttar Pradesh,2022,10,20630.05,19152.4,22829.59
Cotton,Karnataka,2021,10,56225.93,49096.58,59118.09
Cotton,Uttar Pradesh,2021,7,50731.4,46999.36,56432.31
Maize,Uttar Pradesh,2020,1,20004.13,18130.53,22253.82
Maize,Maharashtra,2023,12,18981.88,17775.45,21045.09
Maize,Maharashtra,2020,4,19689.24,18225.8,21544.54
Cotton,Madhya Pradesh,2022,7,56495.73,52017.86,61519.5
Rice,Maharashtra,2020,5,21499.86,20270.46,24572.49
Rice,Maharashtra,2023,5,19600.69,17330.74,21615.01
Cotton,Punjab,2020,10,52961.74,48158.95,55892.37
Rice,Maharashtra,2023,8,19153.18,17151.22,21403.27
Rice,Karnataka,2020,4,21977.07,20750.07,23443.73
Sugarcane,Maharashtra,2021,10,3456.18,3110.69,3867.77
Rice,Uttar Pradesh,2023,5,22851.46,20052.81,24350.99
Wheat,Punjab,2022,11,22793.62,20824.12,25299.33
Maize,Maharashtra,2020,8,16947.75,15177.0,18926.84
Rice,Maharashtra,2022,9,17120.19,15985.75,18266.78
Wheat,Punjab,2020,1,25271.58,23598.99,28563.99
Rice,Maharashtra,2024,11,19853.98,18783.69,21910.72
Maize,Punjab,2022,2,17673.42,15294.03,19569.08
Maize,Maharashtra,2024,2,19291.9,16932.52,22033.87
Rice,Punjab,2021,3,24195.48,21424.92,25531.04
Sugarcane,Karnataka,2023,4,4306.57,3674.26,4704.21
Maize,Uttar Pradesh,2022,5,19831.52,18603.9,22574.05
Rice,Punjab,2022,4,21408.41,19608.06,22931.04
Maize,Maharashtra,2024,2,20125.42,17683.24,22747.04
Wheat,Karnataka,2024,4,24454.82,23225.32,25750.99
Maize,Punjab,2021,6,18587.85,17608.98,20381.6
Wheat,Uttar Pradesh,2023,2,25763.84,24082.46,27212.78
Cotton,Maharashtra,2023,3,59079.82,55980.16,66860.48
Maize,Punjab,2021,10,16593.16,15518.83,18979.2
Wheat,Punjab,2020,12,22213.55,19039.31,23792.47
Rice,Madhya Pradesh,2022,4,22724.04,19836.65,24926.24
Wheat,Maharashtra,2024,2,23364.99,20251.58,24877.35
Cotton,Punjab,2020,11,52511.59,49744.63,59124.34
Rice,Maharashtra,2023,6,19938.24,17502.52,22526.81
Rice,Karnataka,2024,5,22739.44,20070.41,24557.19
Rice,Maharashtra,2020,1,20512.8,17961.96,22267.3
Sugarcane,Uttar Pradesh,2020,12,3578.41,3282.83,3779.72
Cotton,Karnataka,2024,9,54106.33,46785.32,58665.57
Cotton,Uttar Pradesh,2021,1,58527.09,54808.62,62360.18
Maize,Uttar Pradesh,2021,9,16819.7,14805.41,18608.32
Wheat,Madhya Pradesh,2021,10,20769.05,19323.12,22092.35
Wheat,Punjab,2024,11,21520.22,18602.25,23939.09
Maize,Punjab,2020,8,19193.71,16839.87,21089.73
Cotton,Madhya Pradesh,2024,1,62148.35,54730.72,70366.73
Wheat,Uttar Pradesh,2024,4,23945.1,20489.77,26144.71
Rice,Madhya Pradesh,2021,1,24418.85,22158.37,27269.05
Cotton,Punjab,2024,10,50358.18,46717.53,57217.99
Cotton,Punjab,2021,6,57182.94,53409.48,65700.06
Cotton,Karnataka,2024,5,55913.9,52500.46,60786.61
Wheat,Uttar Pradesh,2021,1,23970.21,22152.41,26349.42
Wheat,Karnataka,2020,5,22940.29,20607.68,26010.23
Cotton,Madhya Pradesh,2022,12,62016.49,55236.88,67152.9
Sugarcane,Uttar Pradesh,2020,2,3891.09,3484.08,4382.32
Cotton,Madhya Pradesh,2024,6,58730.69,55508.99,62697.9
Sugarcane,Karnataka,2021,3,4028.53,3652.96,4463.34
Cotton,Uttar Pradesh,2021,3,69021.65,60254.7,76287.3
Cotton,Uttar Pradesh,2022,11,53902.63,47823.35,60164.32
Cotton,Uttar Pradesh,2020,9,52076.13,45229.53,56131.0
Maize,Uttar Pradesh,2023,10,16111.23,14046.91,17211.37
Wheat,Maharashtra,2020,12,21396.9,20171.12,24542.09
Sugarcane,Punjab,2020,3,4072.83,3694.57,4334.71
Wheat,Madhya Pradesh,2024,6,25099.76,22256.94,26573.16
Cotton,Karnataka,2021,3,62718.71,56802.99,71155.13
Rice,Karnataka,2023,1,21728.79,19931.31,23294.36
Wheat,Madhya Pradesh,2022,5,25480.26,22214.22,28981.43
Maize,Punjab,2022,11,16687.27,14185.27,18974.54
Maize,Maharashtra,2024,11,16301.99,15148.78,18139.76
Wheat,Karnataka,2024,4,24638.53,22071.99,26735.81
Cotton,Punjab,2023,9,51750.56,44473.27,56853.84
Sugarcane,Madhya Pradesh,2022,8,3288.75,2873.76,3751.95
Sugarcane,Karnataka,2022,6,3593.14,3222.35,3940.34
Sugarcane,Uttar Pradesh,2024,10,3218.57,2892.61,3517.89
Cotton,Maharashtra,2020,7,53508.64,48676.33,61532.57
Maize,Karnataka,2023,5,19560.38,18245.05,20872.31
Maize,Maharashtra,2021,2,20808.35,17750.49,22274.19
Wheat,Punjab,2022,10,20652.02,18824.58,23565.21
Rice,Maharashtra,2024,6,17869.43,16100.1,19658.65
Maize,Madhya Pradesh,2021,2,19247.85,17975.91,20519.52
Rice,Karnataka,2021,9,20804.7,17735.95,22779.15
Wheat,Maharashtra,2020,6,21373.18,19467.38,23042.53
Wheat,Uttar Pradesh,2022,7,22098.46,19167.09,24042.58
Cotton,Maharashtra,2022,6,53762.46,49734.41,57125.23
Sugarcane,Karnataka,2022,6,3930.0,3644.2,4219.61
Cotton,Punjab,2024,8,53126.74,50093.97,57840.8
Sugarcane,Karnataka,2022,12,4033.51,3455.17,4242.91
Rice,Uttar Pradesh,2022,12,20898.07,19383.47,22432.88
Rice,Uttar Pradesh,2020,2,23897.2,21137.27,25164.0
Wheat,Maharashtra,2022,4,24006.18,22645.52,25843.84
Wheat,Uttar Pradesh,2023,9,20869.46,19015.13,23328.93
Cotton,Karnataka,2023,11,57775.18,54581.15,65776.21
Maize,Karnataka,2021,8,17017.64,15722.71,18340.7
Cotton,Uttar Pradesh,2022,6,59609.13,56569.71,64448.67
Cotton,Madhya Pradesh,2020,7,60479.84,53464.01,63981.26
Maize,Punjab,2023,6,16884.46,14931.58,19137.81
Rice,Maharashtra,2022,5,20607.53,19444.2,22020.66
Sugarcane,Uttar Pradesh,2024,4,4067.32,3482.36,4308.25
Cotton,Uttar Pradesh,2020,3,62396.12,54052.45,69229.82
Cotton,Uttar Pradesh,2021,8,52480.66,45903.04,57576.32
Wheat,Karnataka,2020,9,17697.75,16214.53,19912.05
Wheat,Karnataka,2022,12,23833.34,22413.73,26973.16
Sugarcane,Maharashtra,2021,2,4069.28,3766.95,4295.37
Sugarcane,Madhya Pradesh,2021,11,3424.94,3049.02,3899.15
Sugarcane,Karnataka,2022,1,4201.29,3947.35,4793.33
Sugarcane,Madhya Pradesh,2021,4,4306.09,3777.14,4603.47
Rice,Maharashtra,2021,12,18893.71,16408.49,20484.76
Maize,Madhya Pradesh,2024,6,20540.77,17705.92,23077.4
Cotton,Uttar Pradesh,2024,8,51534.49,46543.14,55595.13
Sugarcane,Karnataka,2022,9,3004.36,2732.79,3284.92
Rice,Punjab,2022,9,18291.37,15848.38,19419.18
Maize,Uttar Pradesh,2023,8,17919.03,15847.51,20128.45
Cotton,Madhya Pradesh,2022,12,59690.82,54668.8,68235.89
Wheat,Uttar Pradesh,2024,4,25151.89,23031.66,28669.1
Sugarcane,Karnataka,2023,12,3932.66,3499.88,4257.81
Wheat,Madhya Pradesh,2024,3,26001.02,23600.76,28507.47
Sugarcane,Madhya Pradesh,2023,6,3796.34,3271.96,4358.41
Cotton,Madhya Pradesh,2022,12,63570.08,54240.81,70936.06
Sugarcane,Madhya Pradesh,2020,7,3696.37,3338.67,3919.36
Sugarcane,Uttar Pradesh,2022,2,4000.34,3518.84,4575.72
Cotton,Maharashtra,2024,4,56348.3,52509.52,64707.95
Cotton,Uttar Pradesh,2020,10,46999.86,40186.52,49597.85
Maize,Maharashtra,2020,5,18125.65,16661.12,19861.96
Sugarcane,Madhya Pradesh,2024,1,4066.4,3559.26,4504.61
Sugarcane,Karnataka,2023,3,3847.29,3408.39,4356.5
Rice,Punjab,2022,3,22346.36,19778.36,24273.87
Rice,Maharashtra,2023,10,19593.75,18233.38,21216.46
Sugarcane,Punjab,2020,11,3125.61,2919.6,3351.04
Sugarcane,Madhya Pradesh,2022,10,2957.02,2626.13,3343.92
Maize,Maharashtra,2021,6,17629.72,15794.68,19045.89
Sugarcane,Madhya Pradesh,2024,9,3603.93,3399.43,3826.88
Rice,Madhya Pradesh,2023,12,21790.42,19680.18,22951.11
Rice,Karnataka,2020,4,23485.19,21079.36,25617.05
Cotton,Uttar Pradesh,2021,9,52727.15,49938.68,58327.77
Cotton,Uttar Pradesh,2022,8,49545.03,45654.52,52361.42
Maize,Madhya Pradesh,2023,11,17601.54,16039.92,20133.49
Maize,Uttar Pradesh,2021,9,16662.05,15265.4,17623.12
Rice,Maharashtra,2023,8,18982.56,16900.57,21514.16
Sugarcane,Punjab,2023,11,3032.76,2824.92,3369.95
Rice,Karnataka,2021,5,20888.33,17976.23,22674.07
Rice,Punjab,2020,10,17923.87,15975.85,20031.4
Rice,Maharashtra,2024,4,21176.5,18837.05,22620.27
Sugarcane,Punjab,2023,3,3962.77,3430.5,4488.75
Wheat,Karnataka,2022,11,22051.27,19114.49,25092.87
Sugarcane,Karnataka,2021,8,3296.07,2985.26,3537.14
Maize,Madhya Pradesh,2021,12,21019.44,19880.43,22533.78
Sugarcane,Karnataka,2020,9,3342.22,3137.07,3821.6
Wheat,Maharashtra,2020,11,21147.79,19307.55,23057.88
Sugarcane,Punjab,2023,7,3512.73,3250.12,3875.0
Wheat,Punjab,2020,8,19690.3,18177.09,22298.22
Sugarcane,Karnataka,2021,4,4349.46,3760.73,4929.21
Sugarcane,Uttar Pradesh,2022,7,3668.09,3276.08,3990.53
Cotton,Karnataka,2023,10,53637.06,50499.62,57666.11
Rice,Punjab,2021,1,21363.41,19257.18,23090.57
Maize,Uttar Pradesh,2023,8,18195.87,16509.19,19697.41
Rice,Punjab,2023,3,22345.54,20621.29,24235.54
Rice,Madhya Pradesh,2023,10,20149.0,18478.84,22779.31
Sugarcane,Punjab,2021,8,3238.16,3006.08,3486.18
Maize,Uttar Pradesh,2023,6,19241.87,18261.17,20253.55
Rice,Karnataka,2023,7,21789.48,20020.27,23141.27
Maize,Madhya Pradesh,2021,6,20403.55,19257.95,21793.41
Rice,Uttar Pradesh,2020,5,20546.86,18096.06,22697.0
Wheat,Maharashtra,2023,12,22629.63,20179.28,24123.7
Wheat,Maharashtra,2022,12,21669.05,20059.65,24698.31
Cotton,Madhya Pradesh,2023,8,50929.75,43718.75,55478.31
Sugarcane,Punjab,2024,9,3396.52,2942.41,3645.76
Sugarcane,Punjab,2023,4,4168.87,3553.42,4725.39
Cotton,Maharashtra,2022,7,53600.82,50526.62,58530.1
Sugarcane,Madhya Pradesh,2022,12,3717.34,3178.56,3917.85
Cotton,Punjab,2023,4,55707.67,47511.14,61742.22
Cotton,Madhya Pradesh,2024,7,60055.33,51114.91,67786.68
Rice,Uttar Pradesh,2021,3,22790.77,20713.05,24836.66
Wheat,Karnataka,2023,6,23278.67,22053.75,25709.43
Cotton,Maharashtra,2021,8,52853.62,46360.51,60275.55
Wheat,Maharashtra,2020,3,23076.72,20479.95,25499.47
Cotton,Maharashtra,2022,12,54727.49,51073.68,61872.98
Cotton,Karnataka,2022,10,51593.32,45011.66,55339.4
Wheat,Uttar Pradesh,2020,11,21614.27,19101.51,24576.91
Maize,Maharashtra,2020,6,17193.02,14757.67,18415.66
Wheat,Madhya Pradesh,2022,7,19374.31,17116.04,21107.48
Sugarcane,Madhya Pradesh,2020,1,3903.41,3524.76,4161.57
Cotton,Maharashtra,2024,8,53890.62,49903.58,57414.53
Rice,Madhya Pradesh,2020,7,20833.18,18019.14,22433.53
Wheat,Madhya Pradesh,2024,12,22490.2,20645.32,23742.19
Sugarcane,Madhya Pradesh,2021,8,3146.07,2685.07,3426.67
Rice,Uttar Pradesh,2022,7,18814.25,17199.06,20243.81
Maize,Punjab,2023,5,19825.42,18608.31,22592.43
Cotton,Uttar Pradesh,2023,2,59397.57,52930.98,63796.15
Wheat,Karnataka,2023,2,24511.89,22483.25,27762.33
Maize,Maharashtra,2022,2,20439.43,18184.94,21780.9
Sugarcane,Punjab,2023,3,4018.37,3712.15,4364.14
Rice,Madhya Pradesh,2020,10,18532.6,15903.25,21298.74
Rice,Uttar Pradesh,2023,2,23495.03,20337.77,26992.08
Maize,Uttar Pradesh,2022,12,19523.66,18286.06,21064.93
Rice,Uttar Pradesh,2023,8,20828.29,18678.15,23159.79
Sugarcane,Punjab,2020,9,2944.37,2599.96,3257.72
Sugarcane,Punjab,2023,2,3550.17,3319.61,3799.22
Rice,Maharashtra,2022,8,18453.12,17204.35,20402.12
Wheat,Uttar Pradesh,2023,11,22203.99,20604.23,23350.16
Rice,Punjab,2022,10,17680.99,16382.08,19012.42
Maize,Punjab,2022,7,16832.7,15764.77,17847.45
Cotton,Uttar Pradesh,2021,3,65396.1,57707.67,73089.84
Cotton,Punjab,2022,10,52482.47,47728.83,58272.07
Rice,Madhya Pradesh,2024,4,24206.24,21613.9,26084.46
Wheat,Madhya Pradesh,2023,9,23343.98,21636.56,25039.39
Rice,Uttar Pradesh,2023,2,21551.19,19666.17,24238.79
Wheat,Punjab,2024,2,25216.61,21985.64,26628.6
Wheat,Madhya Pradesh,2021,5,25260.13,23616.82,26636.8
Wheat,Maharashtra,2023,5,22013.34,20327.45,23865.36
Cotton,Punjab,2020,8,53384.81,47149.31,58538.24
Sugarcane,Uttar Pradesh,2022,6,3633.17,3093.17,3844.47
Rice,Karnataka,2020,4,21965.12,19874.36,23446.99
Cotton,Uttar Pradesh,2023,1,65316.4,57451.86,72918.08
Rice,Punjab,2024,11,19564.71,17733.3,21521.73
Wheat,Karnataka,2020,11,23185.71,19868.75,24553.38
Sugarcane,Punjab,2020,5,3456.5,3255.08,3769.86
Wheat,Punjab,2020,7,22482.6,19432.34,25213.6
Maize,Uttar Pradesh,2022,8,17304.9,15916.76,19728.04
Sugarcane,Punjab,2024,4,3554.04,3302.48,3972.12
Wheat,Maharashtra,2024,9,20204.38,17771.42,21216.85
Maize,Maharashtra,2021,9,16333.28,14327.48,17505.83
Rice,Maharashtra,2023,10,19454.68,17691.04,20459.02
Sugarcane,Maharashtra,2021,8,3448.25,3182.31,3732.22
Sugarcane,Uttar Pradesh,2020,5,3938.45,3482.67,4188.37
Sugarcane,Karnataka,2022,12,4049.71,3480.49,4588.94
Wheat,Uttar Pradesh,2022,11,21990.59,18919.46,23974.2
Wheat,Uttar Pradesh,2021,1,24735.14,22827.91,27900.79
Sugarcane,Maharashtra,2024,4,3642.76,3189.05,3829.6
Cotton,Karnataka,2020,8,56978.54,51510.31,64677.2
Maize,Maharashtra,2020,3,19871.64,17913.21,21034.24
Wheat,Uttar Pradesh,2021,6,23489.46,21255.31,25556.48
Maize,Punjab,2023,1,17872.66,15621.24,18936.02
Cotton,Karnataka,2022,9,56604.4,49896.32,59981.67
Rice,Uttar Pradesh,2024,5,23258.53,21801.66,26737.0
Rice,Maharashtra,2024,11,16512.19,14997.55,18679.37
Sugarcane,Punjab,2022,7,3180.27,2831.3,3553.16
Maize,Madhya Pradesh,2024,1,19444.22,17854.06,21029.39
Cotton,Punjab,2022,8,52172.62,45016.24,57799.4
Maize,Uttar Pradesh,2023,1,18811.87,17294.55,21070.44
Rice,Uttar Pradesh,2020,2,23133.34,20819.91,25979.32
Cotton,Maharashtra,2020,12,55994.57,51062.42,59839.38
Cotton,Madhya Pradesh,2020,6,65136.63,60902.48,69671.74
Wheat,Karnataka,2020,11,21037.76,18146.22,24116.59
Rice,Uttar Pradesh,2023,5,21786.1,19793.9,24054.85
Sugarcane,Karnataka,2021,6,3538.1,3037.82,3735.18
Sugarcane,Madhya Pradesh,2020,2,4141.68,3745.88,4445.57
Sugarcane,Madhya Pradesh,2020,12,3621.79,3309.51,4099.89
Rice,Karnataka,2021,10,19361.62,17791.99,20818.22
Wheat,Maharashtra,2024,6,21351.8,18806.18,23729.62
Maize,Punjab,2023,9,17954.86,15916.66,20003.45
Sugarcane,Madhya Pradesh,2024,6,3880.46,3479.29,4148.19
Wheat,Karnataka,2021,4,25892.63,22937.3,29546.96
Wheat,Madhya Pradesh,2023,5,26924.0,22941.76,29120.39
Cotton,Madhya Pradesh,2021,4,61721.68,56633.73,67251.56
Cotton,Uttar Pradesh,2022,9,54862.5,50782.12,60097.39
Maize,Karnataka,2022,11,18737.04,16396.56,19899.57
Rice,Karnataka,2022,8,19227.03,17466.88,22052.1
Rice,Punjab,2024,11,18786.19,16605.69,20675.95
Rice,Karnataka,2022,3,23154.37,20056.14,25835.88
Cotton,Madhya Pradesh,2023,6,56228.34,48441.54,64006.26
Rice,Maharashtra,2022,11,17312.66,15433.93,18848.77
Maize,Uttar Pradesh,2020,11,17145.88,15685.45,18108.53
Wheat,Maharashtra,2020,9,21948.59,20442.31,25110.29
Cotton,Madhya Pradesh,2020,2,65645.51,56792.77,72061.81
Cotton,Punjab,2023,5,59265.43,53942.25,65676.39
Wheat,Uttar Pradesh,2020,7,19885.08,17154.51,21658.32
Cotton,Punjab,2022,3,58893.92,51017.81,66163.58
Cotton,Punjab,2024,10,57195.5,53603.13,63355.35
Rice,Uttar Pradesh,2021,3,24070.55,21291.56,27206.97
Rice,Madhya Pradesh,2020,12,20783.78,18842.26,23710.17
Maize,Madhya Pradesh,2022,12,19510.33,17357.0,21063.99
Cotton,Madhya Pradesh,2022,3,65136.57,58185.01,72273.45
Sugarcane,Uttar Pradesh,2024,6,3626.76,3111.98,4148.86
Sugarcane,Punjab,2021,8,3349.31,3124.38,3543.63
Maize,Madhya Pradesh,2024,9,18836.2,16908.95,20964.87
Wheat,Karnataka,2022,1,25026.57,21965.99,28632.6
Sugarcane,Uttar Pradesh,2021,9,3375.71,2911.33,3839.92
Sugarcane,Karnataka,2023,4,4107.59,3729.96,4697.41
Rice,Punjab,2024,5,18887.75,17324.32,20741.16
Maize,Punjab,2020,2,19342.58,17291.99,21555.29
Cotton,Maharashtra,2021,8,49128.4,43630.7,51852.89
Maize,Punjab,2023,9,17280.66,15350.78,18518.53
Wheat,Maharashtra,2023,3,24428.58,21845.45,25768.15
Rice,Uttar Pradesh,2024,8,19424.51,17653.0,21081.62
Wheat,Madhya Pradesh,2023,4,26277.7,24437.69,29049.17
Sugarcane,Uttar Pradesh,2022,1,3899.73,3620.67,4328.14
Wheat,Punjab,2020,4,25594.82,22815.58,29326.41
Maize,Karnataka,2022,7,20171.19,17590.26,22441.76
Sugarcane,Uttar Pradesh,2024,1,3977.58,3608.3,4249.98
Cotton,Karnataka,2022,12,58700.18,54378.04,64707.56
Maize,Uttar Pradesh,2023,2,19788.49,17268.97,22096.86
Wheat,Madhya Pradesh,2024,4,25695.02,22260.54,27453.74
Sugarcane,Karnataka,2020,11,3383.63,2944.53,3683.66
Rice,Maharashtra,2021,8,18140.29,16347.5,19924.01
Rice,Karnataka,2023,7,19579.39,17391.95,22201.36
Maize,Maharashtra,2024,9,16216.94,13885.01,17143.18
Cotton,Punjab,2021,1,55682.95,50525.96,61618.86
Cotton,Madhya Pradesh,2021,10,54686.72,51732.49,57687.35
Sugarcane,Uttar Pradesh,2023,3,4183.12,3596.65,4410.71
Cotton,Maharashtra,2023,1,58232.04,53256.53,61409.09
Wheat,Punjab,2022,7,19847.6,18747.99,22511.48
Cotton,Uttar Pradesh,2024,5,58809.99,50987.6,62497.05
Cotton,Maharashtra,2021,5,57148.7,49280.95,62969.65
Wheat,Karnataka,2024,12,22531.28,21381.07,25199.69
Cotton,Madhya Pradesh,2024,11,52897.39,49982.64,56296.35
Sugarcane,Karnataka,2021,2,4202.41,3604.31,4414.29
Wheat,Punjab,2023,5,21245.79,19483.31,23671.68
Cotton,Punjab,2020,8,50410.6,44943.28,53052.14
Wheat,Maharashtra,2020,9,16936.55,14964.07,18083.29
Cotton,Karnataka,2021,12,62508.04,55103.11,68090.93
Rice,Uttar Pradesh,2024,2,23266.26,20327.55,24655.18
Rice,Uttar Pradesh,2020,9,19216.2,17635.76,21228.0
Sugarcane,Madhya Pradesh,2023,9,3308.32,2969.25,3778.91
Cotton,Uttar Pradesh,2024,5,59556.34,52706.99,67194.0
Cotton,Punjab,2020,6,55119.15,52321.93,59201.66
Sugarcane,Uttar Pradesh,2024,4,3963.15,3457.71,4319.57
Maize,Madhya Pradesh,2021,9,17542.08,15629.42,20135.19
Maize,Uttar Pradesh,2023,8,17549.02,15503.14,19709.08
Cotton,Uttar Pradesh,2022,9,50012.6,44611.29,55405.76
Maize,Karnataka,2022,7,18517.29,17344.08,19553.55
Wheat,Punjab,2023,6,22962.97,21107.68,24432.57
Cotton,Karnataka,2023,12,61818.68,55035.56,68121.78
Cotton,Maharashtra,2024,12,48903.75,46441.57,52010.2
Wheat,Madhya Pradesh,2024,7,21509.77,18569.41,22926.7
Maize,Madhya Pradesh,2024,2,22589.8,21345.72,25706.29
Rice,Punjab,2020,2,21584.91,19791.68,23708.44
Rice,Madhya Pradesh,2023,1,21506.12,19180.0,23350.94
Rice,Karnataka,2020,12,22697.43,19659.28,24903.03
Maize,Karnataka,2022,11,19797.93,17924.0,21916.88
Sugarcane,Uttar Pradesh,2022,10,3443.58,2935.72,3737.95
Wheat,Punjab,2023,4,23489.72,21798.96,25988.77
Maize,Madhya Pradesh,2020,9,18287.48,16581.97,20657.98
Cotton,Uttar Pradesh,2024,5,57097.22,52729.43,63435.63
Rice,Madhya Pradesh,2022,7,19408.42,17004.36,21192.25
Cotton,Maharashtra,2020,4,59664.62,54290.62,65712.87
Wheat,Punjab,2020,6,20415.91,18853.29,21485.59
Rice,Punjab,2024,5,21387.72,19430.38,24470.7
Cotton,Punjab,2022,11,52983.9,45520.7,58948.2
Wheat,Maharashtra,2020,2,22476.12,20342.08,24515.53
Maize,Punjab,2024,11,18304.55,15918.18,19261.08
Wheat,Madhya Pradesh,2020,4,25874.5,24222.84,28661.49
Rice,Maharashtra,2022,3,22224.34,20691.22,24290.48
Rice,Punjab,2020,12,21304.02,19705.92,24314.37
Wheat,Punjab,2023,12,21042.93,18452.12,22513.08
Rice,Uttar Pradesh,2023,7,20046.96,17534.79,21663.58
Rice,Punjab,2021,1,23544.77,21017.24,26171.0
Rice,Maharashtra,2020,5,22331.34,19163.81,23643.95
Cotton,Karnataka,2021,6,58495.95,50973.34,63077.85
Maize,Uttar Pradesh,2022,8,15934.64,14182.33,18025.05
Sugarcane,Madhya Pradesh,2020,8,3639.61,3433.15,3828.92
Wheat,Maharashtra,2023,8,20759.28,17964.63,23636.87
Maize,Karnataka,2024,9,19245.27,17634.49,21514.42
Wheat,Maharashtra,2024,6,20372.61,19214.92,23422.29
Sugarcane,Uttar Pradesh,2022,10,3154.43,2958.78,3327.68
Wheat,Punjab,2024,11,22425.85,19580.19,25559.61
Cotton,Punjab,2024,6,53834.18,46502.64,61150.85
Maize,Karnataka,2020,4,20085.18,18076.78,22444.97
Maize,Maharashtra,2024,7,17803.92,16486.44,19250.66
Maize,Karnataka,2021,5,19322.19,17217.39,20693.47
Rice,Punjab,2023,6,20434.03,19278.58,22075.67
Sugarcane,Uttar Pradesh,2020,7,3477.49,3227.77,3917.69
Cotton,Karnataka,2023,10,50540.11,46353.92,56753.06
Cotton,Punjab,2021,6,55318.57,50201.94,59228.59
Wheat,Punjab,2022,3,22507.95,20093.9,25085.6
Maize,Punjab,2020,11,17484.24,16164.56,18764.48
Wheat,Karnataka,2022,8,19603.35,17052.23,22119.22
Sugarcane,Maharashtra,2024,2,3692.38,3474.25,4013.7
Wheat,Punjab,2022,8,20960.34,19589.79,22391.54
Sugarcane,Maharashtra,2020,2,3849.8,3640.48,4187.3
Rice,Punjab,2020,2,21669.76,19472.82,22989.48
Sugarcane,Maharashtra,2021,7,3293.05,2880.94,3562.07
Wheat,Madhya Pradesh,2024,7,22856.53,20119.38,25962.04
Rice,Punjab,2023,2,22379.43,20940.95,25209.65
Rice,Punjab,2020,1,21864.77,20651.33,24450.37
Wheat,Madhya Pradesh,2020,10,20794.1,18364.55,22874.71
Sugarcane,Madhya Pradesh,2021,12,3808.09,3282.56,4117.33
Cotton,Uttar Pradesh,2023,6,63284.46,58869.71,71900.12
Cotton,Karnataka,2020,12,61580.02,56972.76,69658.99
Sugarcane,Karnataka,2022,9,3118.87,2946.01,3372.41
Cotton,Madhya Pradesh,2022,4,67375.2,61835.09,72443.94
Rice,Karnataka,2024,8,20236.34,18967.61,21589.86
Wheat,Uttar Pradesh,2021,3,25248.52,22661.75,28654.79
Maize,Madhya Pradesh,2022,10,17621.23,15653.64,18798.82
Rice,Maharashtra,2023,7,19178.69,16664.74,21519.23
Rice,Madhya Pradesh,2020,10,20958.6,18886.03,23273.09
Sugarcane,Maharashtra,2022,2,4026.3,3756.36,4513.24
Wheat,Madhya Pradesh,2024,4,25650.79,22073.53,29085.06
Maize,Punjab,2021,10,17866.35,15834.92,20330.62
Sugarcane,Punjab,2020,10,3445.87,3178.94,3656.96
Wheat,Punjab,2024,9,21222.44,18139.24,24323.92
Cotton,Karnataka,2023,7,54772.52,50276.59,60969.35
Cotton,Uttar Pradesh,2023,11,51820.12,48928.86,55956.78
Sugarcane,Maharashtra,2024,1,3528.54,3272.9,3843.68
Wheat,Maharashtra,2024,6,22466.47,19925.82,24392.28
Cotton,Madhya Pradesh,2022,5,62478.48,55256.54,68854.68
Sugarcane,Uttar Pradesh,2021,2,4132.44,3721.48,4548.89
Rice,Maharashtra,2024,1,20841.85,18003.96,23932.15
Rice,Uttar Pradesh,2020,3,22698.55,20799.01,25184.87
Sugarcane,Punjab,2022,10,3242.22,2890.49,3541.22
Wheat,Uttar Pradesh,2023,1,23339.76,21753.25,26020.91
Sugarcane,Punjab,2022,8,3362.81,2999.28,3684.98
