farmer_id,crop_type,season,state,land_area_hectare,annual_rainfall_mm,fertilizer_used_kg,pesticide_used_liters,total_production_tonnes,yield_tonnes_per_hectare
F0496,Cotton,Kharif,Madhya Pradesh,1.15,524.55,300.0,18.11,2.04,1.78
F0268,Cotton,Rabi,Madhya Pradesh,4.47,752.24,444.16,45.74,9.21,2.06
F0385,Maize,Zaid,Uttar Pradesh,1.51,1444.08,77.1,18.39,6.68,4.43
F0444,Wheat,Zaid,Punjab,3.33,684.48,123.93,40.24,8.06,2.42
F0172,Cotton,Kharif,Uttar Pradesh,1.68,384.64,459.24,13.56,2.72,1.62
F0023,Maize,Zaid,Punjab,8.3,953.56,85.04,48.0,27.19,3.28
F0144,Rice,Zaid,Maharashtra,2.1,1324.73,55.95,28.03,8.09,3.85
F0491,Maize,Kharif,Punjab,7.81,1421.75,459.14,41.88,39.51,5.06
F0307,Cotton,Zaid,Uttar Pradesh,3.2,646.76,219.67,22.7,7.88,2.46
F0249,Sugarcane,Rabi,Madhya Pradesh,5.67,491.86,361.06,12.54,12.49,2.2
F0400,Maize,Zaid,Punjab,8.07,1187.36,340.49,12.01,26.2,3.25
F0436,Wheat,Kharif,Uttar Pradesh,5.7,404.94,219.81,23.61,8.2,1.44
F0290,Cotton,Zaid,Karnataka,2.2,770.66,476.5,11.35,7.02,3.19
F0474,Cotton,Rabi,Uttar Pradesh,7.75,430.42,491.57,22.17,14.86,1.92
F0313,Wheat,Rabi,Karnataka,6.46,530.42,115.71,47.21,15.25,2.36
F0448,Wheat,Zaid,Maharashtra,9.22,1364.96,331.45,41.37,42.55,4.62
F0252,Maize,Rabi,Karnataka,3.48,1062.77,210.18,11.68,11.6,3.33
F0495,Cotton,Kharif,Maharashtra,6.17,1277.26,221.96,10.95,24.42,3.96
F0425,Cotton,Kharif,Uttar Pradesh,3.35,1071.35,320.43,36.32,11.6,3.46
F0171,Maize,Kharif,Uttar Pradesh,3.94,1288.8,141.84,26.11,15.21,3.86
F0285,Sugarcane,Kharif,Punjab,1.54,1360.42,204.32,35.77,7.24,4.7
F0215,Sugarcane,Kharif,Uttar Pradesh,0.74,1128.06,192.25,7.51,2.27,3.06
F0435,Rice,Kharif,Madhya Pradesh,4.17,396.7,116.22,18.41,7.09,1.7
F0045,Wheat,Zaid,Uttar Pradesh,1.35,1392.99,52.72,26.77,5.5,4.07
F0249,Maize,Rabi,Punjab,9.3,494.03,484.62,14.26,19.28,2.07
F0166,Cotton,Rabi,Punjab,7.54,956.01,448.02,29.93,22.91,3.04
F0342,Rice,Zaid,Punjab,2.08,1399.79,197.53,21.74,9.68,4.65
F0412,Rice,Kharif,Uttar Pradesh,7.72,706.59,478.43,38.21,27.12,3.51
F0324,Sugarcane,Kharif,Madhya Pradesh,0.97,608.48,259.27,15.21,2.38,2.45
F0145,Maize,Rabi,Uttar Pradesh,7.57,1403.05,240.7,20.4,35.11,4.64
F0245,Sugarcane,Kharif,Karnataka,5.15,721.98,459.3,30.6,17.11,3.32
F0494,Rice,Rabi,Punjab,7.74,1274.17,203.83,24.52,31.03,4.01
F0252,Maize,Rabi,Punjab,8.04,1429.19,330.44,38.37,43.5,5.41
F0282,Sugarcane,Rabi,Punjab,8.15,1314.05,227.77,7.31,42.58,5.22
F0441,Wheat,Rabi,Uttar Pradesh,4.78,1198.76,210.64,33.56,16.79,3.51
F0222,Rice,Zaid,Madhya Pradesh,2.27,1199.24,295.56,14.18,10.62,4.68
F0075,Cotton,Kharif,Madhya Pradesh,5.08,559.24,485.27,37.18,11.12,2.19
F0008,Maize,Rabi,Madhya Pradesh,9.59,812.53,263.8,45.41,36.9,3.85
F0172,Sugarcane,Rabi,Uttar Pradesh,2.9,836.07,105.55,14.27,8.17,2.82
F0081,Maize,Zaid,Madhya Pradesh,0.51,347.12,489.78,15.91,1.27,2.49
F0097,Wheat,Kharif,Karnataka,5.73,483.77,377.65,32.01,13.79,2.41
F0343,Cotton,Rabi,Madhya Pradesh,7.45,1223.7,488.93,30.81,39.06,5.24
F0042,Maize,Zaid,Madhya Pradesh,1.15,1376.88,103.72,19.75,4.2,3.65
F0167,Cotton,Rabi,Punjab,8.25,1016.77,227.14,26.3,27.0,3.27
F0380,Rice,Zaid,Madhya Pradesh,8.76,405.76,399.56,43.14,21.29,2.43
F0149,Cotton,Kharif,Uttar Pradesh,2.23,816.42,124.47,36.8,8.37,3.75
F0332,Maize,Rabi,Karnataka,2.37,554.1,68.67,19.49,4.9,2.07
F0472,Cotton,Kharif,Uttar Pradesh,5.82,1329.52,350.12,24.59,27.29,4.69
F0154,Maize,Rabi,Uttar Pradesh,2.96,363.39,376.74,10.46,6.56,2.22
F0393,Cotton,Rabi,Karnataka,3.38,938.97,303.99,32.03,10.8,3.19
F0173,Sugarcane,Rabi,Maharashtra,6.36,1463.78,377.43,46.52,28.93,4.55
F0206,Wheat,Rabi,Karnataka,7.74,1010.06,136.41,35.0,30.57,3.95
F0094,Sugarcane,Zaid,Uttar Pradesh,5.15,934.39,200.5,28.37,20.58,4.0
F0180,Maize,Rabi,Uttar Pradesh,2.38,1266.21,133.6,8.82,11.94,5.02
F0234,Sugarcane,Kharif,Uttar Pradesh,4.66,632.1,301.18,20.62,9.74,2.09
F0211,Wheat,Zaid,Punjab,9.36,1407.17,276.07,19.75,34.77,3.71
F0358,Cotton,Kharif,Punjab,9.25,314.4,298.77,38.33,12.42,1.34
F0136,Cotton,Zaid,Madhya Pradesh,5.11,402.48,487.61,28.31,7.52,1.47
F0253,Rice,Kharif,Karnataka,5.09,814.98,83.7,9.78,14.76,2.9
F0456,Rice,Zaid,Uttar Pradesh,8.46,587.78,137.73,27.72,12.85,1.52
F0378,Sugarcane,Zaid,Punjab,0.85,363.29,425.37,10.31,1.73,2.03
F0318,Maize,Kharif,Maharashtra,0.93,825.48,429.8,16.81,2.85,3.06
F0274,Cotton,Kharif,Maharashtra,4.77,993.14,306.91,19.96,16.83,3.53
F0433,Wheat,Zaid,Maharashtra,3.5,427.95,215.06,9.48,8.76,2.5
F0145,Cotton,Zaid,Maharashtra,3.21,1056.92,255.04,26.69,13.02,4.06
F0072,Cotton,Kharif,Madhya Pradesh,7.7,638.3,193.12,46.61,17.27,2.24
F0321,Rice,Zaid,Punjab,9.17,1032.44,295.88,16.24,30.52,3.33
F0146,Rice,Zaid,Punjab,3.76,1322.46,301.65,28.16,16.88,4.49
F0232,Wheat,Rabi,Madhya Pradesh,6.23,395.66,357.4,46.97,12.78,2.05
F0430,Sugarcane,Kharif,Madhya Pradesh,5.97,451.34,311.77,39.49,14.44,2.42
F0056,Maize,Zaid,Punjab,6.66,1379.1,330.58,10.91,31.1,4.67
F0007,Wheat,Rabi,Punjab,3.44,542.15,458.97,39.22,6.57,1.91
F0427,Rice,Zaid,Uttar Pradesh,2.25,1207.74,263.37,15.16,10.49,4.66
F0255,Maize,Zaid,Punjab,6.36,348.4,196.78,26.09,7.75,1.22
F0199,Cotton,Kharif,Karnataka,2.43,1222.87,241.48,30.44,9.64,3.97
F0160,Sugarcane,Kharif,Uttar Pradesh,0.7,341.32,250.62,41.75,1.34,1.91
F0157,Rice,Zaid,Maharashtra,4.19,1295.48,110.16,47.09,17.18,4.1
F0151,Maize,Kharif,Punjab,7.64,1429.6,354.48,21.35,37.59,4.92
F0092,Maize,Zaid,Uttar Pradesh,3.66,1140.97,394.39,46.82,15.65,4.28
F0438,Maize,Zaid,Madhya Pradesh,2.45,1257.6,382.35,7.87,9.26,3.78
F0071,Wheat,Rabi,Madhya Pradesh,3.39,1479.54,339.25,37.3,15.9,4.69
F0395,Sugarcane,Rabi,Madhya Pradesh,9.78,752.64,410.83,24.55,28.9,2.95
F0472,Maize,Kharif,Maharashtra,9.5,562.53,196.8,39.03,20.5,2.16
F0048,Maize,Kharif,Madhya Pradesh,4.24,1029.85,250.06,38.41,14.54,3.43
F0060,Wheat,Rabi,Karnataka,2.1,725.76,229.99,7.58,3.54,1.68
F0458,Maize,Rabi,Uttar Pradesh,6.04,1361.21,118.28,31.9,23.24,3.85
F0156,Maize,Rabi,Madhya Pradesh,7.16,792.88,277.09,5.33,27.4,3.83
F0093,Rice,Rabi,Punjab,7.07,1093.61,67.28,21.57,23.8,3.37
F0137,Wheat,Zaid,Madhya Pradesh,5.27,1391.92,372.77,31.19,26.66,5.06
F0369,Maize,Kharif,Karnataka,8.08,1337.24,255.6,26.38,37.9,4.69
F0126,Wheat,Rabi,Madhya Pradesh,7.12,399.87,438.33,26.63,14.26,2.0
F0073,Maize,Kharif,Karnataka,1.15,959.66,237.72,44.5,4.11,3.57
F0126,Wheat,Zaid,Karnataka,5.8,365.53,487.33,28.07,10.47,1.8
F0381,Cotton,Rabi,Uttar Pradesh,3.26,863.29,436.04,18.72,10.74,3.29
F0379,Wheat,Zaid,Karnataka,3.33,1236.06,262.23,15.24,13.63,4.09
F0110,Sugarcane,Rabi,Punjab,2.08,699.28,472.97,20.44,6.28,3.02
F0366,Sugarcane,Kharif,Madhya Pradesh,2.2,1369.37,257.16,36.94,10.43,4.74
F0448,Sugarcane,Kharif,Madhya Pradesh,9.85,360.21,93.51,37.42,9.85,1.0
F0206,Sugarcane,Rabi,Karnataka,0.87,326.22,398.52,11.05,1.28,1.47
F0350,Wheat,Rabi,Karnataka,4.94,1027.08,242.76,6.22,18.57,3.76
F0418,Rice,Zaid,Uttar Pradesh,4.61,942.65,264.64,22.51,15.98,3.47
F0468,Cotton,Zaid,Punjab,8.93,1372.72,201.12,32.68,26.65,2.98
F0207,Cotton,Zaid,Karnataka,3.15,1450.65,114.27,31.09,15.23,4.83
F0184,Rice,Rabi,Madhya Pradesh,3.18,634.81,232.24,49.95,7.55,2.37
F0261,Maize,Kharif,Uttar Pradesh,1.28,485.42,247.8,27.97,2.06,1.61
F0301,Rice,Rabi,Uttar Pradesh,2.96,679.75,89.14,18.64,7.69,2.6
F0132,Wheat,Zaid,Punjab,9.14,307.42,414.81,47.68,9.14,1.0
F0058,Wheat,Rabi,Madhya Pradesh,1.37,493.74,482.34,29.19,4.58,3.35
F0017,Wheat,Rabi,Madhya Pradesh,7.47,1494.51,179.38,29.22,34.15,4.57
F0116,Wheat,Zaid,Karnataka,5.57,786.77,126.12,48.99,14.26,2.56
F0463,Maize,Rabi,Maharashtra,6.23,572.71,294.7,36.27,17.82,2.86
F0438,Sugarcane,Zaid,Maharashtra,5.39,1488.34,325.1,21.69,25.81,4.79
F0490,Wheat,Rabi,Punjab,4.15,716.35,244.31,40.18,11.83,2.85
F0140,Sugarcane,Rabi,Uttar Pradesh,5.1,1252.82,309.42,20.39,20.72,4.06
F0404,Rice,Zaid,Madhya Pradesh,2.63,905.4,167.38,5.41,8.93,3.39
F0437,Wheat,Kharif,Maharashtra,6.66,913.31,250.48,48.51,24.84,3.73
F0117,Sugarcane,Zaid,Madhya Pradesh,1.82,983.05,440.59,31.24,7.11,3.9
F0269,Sugarcane,Rabi,Karnataka,7.32,746.45,91.6,25.61,21.2,2.9
F0076,Sugarcane,Zaid,Uttar Pradesh,2.82,1460.08,481.16,16.14,14.62,5.18
F0001,Rice,Rabi,Punjab,3.81,1374.67,484.98,24.95,19.87,5.21
F0487,Rice,Kharif,Karnataka,7.03,628.17,381.41,7.32,11.54,1.64
F0343,Wheat,Kharif,Punjab,0.97,763.55,209.06,19.2,1.63,1.68
F0110,Cotton,Zaid,Punjab,2.33,671.36,488.71,23.5,6.8,2.92
F0229,Sugarcane,Rabi,Madhya Pradesh,4.72,991.85,492.5,15.87,21.36,4.52
F0436,Wheat,Zaid,Punjab,6.27,406.29,354.59,7.88,15.09,2.41
F0243,Cotton,Zaid,Karnataka,6.16,1187.5,144.94,42.87,18.9,3.07
F0229,Wheat,Zaid,Madhya Pradesh,1.77,1443.97,82.7,13.96,7.75,4.38
F0302,Maize,Kharif,Maharashtra,3.8,1044.28,295.16,10.65,12.24,3.22
F0310,Sugarcane,Rabi,Madhya Pradesh,2.53,793.37,366.81,14.79,6.84,2.7
F0155,Cotton,Zaid,Punjab,3.98,769.1,489.41,47.96,11.63,2.92
F0046,Rice,Zaid,Karnataka,1.15,680.28,170.06,27.77,3.13,2.72
F0075,Maize,Kharif,Punjab,7.89,1329.99,430.19,21.19,33.65,4.27
F0272,Cotton,Rabi,Karnataka,1.08,1141.88,54.42,23.41,4.4,4.08
F0379,Cotton,Rabi,Maharashtra,3.63,1132.05,394.81,18.68,14.05,3.87
F0200,Sugarcane,Kharif,Uttar Pradesh,4.74,1172.42,361.81,49.43,22.0,4.64
F0169,Cotton,Rabi,Karnataka,2.64,1094.78,324.36,46.18,10.89,4.12
F0385,Wheat,Rabi,Maharashtra,5.9,629.6,263.5,20.02,12.23,2.07
F0184,Cotton,Kharif,Punjab,6.0,1366.8,306.19,33.43,26.11,4.35
F0440,Sugarcane,Rabi,Uttar Pradesh,2.71,890.4,189.61,13.18,8.27,3.05
F0457,Rice,Zaid,Karnataka,5.29,687.37,166.15,25.88,13.6,2.57
F0220,Maize,Kharif,Uttar Pradesh,1.51,1231.05,413.58,39.55,7.31,4.84
F0314,Cotton,Kharif,Madhya Pradesh,1.58,1072.69,425.45,30.98,5.91,3.74
F0145,Maize,Zaid,Maharashtra,5.52,341.25,337.53,8.67,15.12,2.74
F0296,Sugarcane,Rabi,Maharashtra,4.63,651.19,295.44,11.0,14.03,3.03
F0202,Sugarcane,Kharif,Maharashtra,2.05,425.18,115.48,44.47,3.66,1.79
F0257,Cotton,Zaid,Uttar Pradesh,5.52,860.71,98.02,34.23,15.58,2.82
F0055,Rice,Kharif,Maharashtra,6.45,390.33,100.58,7.22,9.37,1.45
F0351,Cotton,Kharif,Uttar Pradesh,2.95,462.79,167.02,22.33,5.23,1.77
F0201,Sugarcane,Zaid,Karnataka,8.43,1152.42,100.63,38.12,32.99,3.91
F0004,Sugarcane,Rabi,Karnataka,3.11,1066.93,203.43,49.9,9.66,3.11
F0184,Rice,Kharif,Karnataka,9.34,329.57,363.51,37.64,11.17,1.2
F0463,Wheat,Kharif,Karnataka,8.45,1469.33,489.02,7.94,47.5,5.62
F0425,Maize,Rabi,Karnataka,6.65,454.02,342.58,49.21,16.85,2.53
F0358,Maize,Kharif,Uttar Pradesh,9.16,826.96,67.98,21.3,26.25,2.87
F0197,Rice,Kharif,Maharashtra,4.86,366.12,242.1,26.11,9.69,1.99
F0083,Sugarcane,Zaid,Madhya Pradesh,9.32,1069.3,190.24,28.64,31.54,3.38
F0097,Maize,Rabi,Maharashtra,3.88,1119.01,348.0,37.19,11.28,2.91
F0330,Cotton,Rabi,Karnataka,3.05,678.8,106.36,34.5,6.91,2.27
F0338,Wheat,Kharif,Karnataka,8.76,1369.0,252.07,25.67,38.05,4.34
F0181,Wheat,Rabi,Madhya Pradesh,1.23,1104.92,419.57,16.01,5.81,4.72
F0218,Sugarcane,Zaid,Madhya Pradesh,8.83,591.82,297.76,13.66,19.61,2.22
F0154,Maize,Zaid,Madhya Pradesh,1.47,1393.34,419.23,39.2,5.9,4.01
F0380,Wheat,Zaid,Madhya Pradesh,5.69,409.62,390.49,31.21,9.09,1.6
F0349,Rice,Zaid,Maharashtra,2.27,525.88,132.91,7.57,5.47,2.41
F0473,Rice,Rabi,Maharashtra,0.67,358.81,307.75,41.88,1.2,1.8
F0246,Sugarcane,Zaid,Maharashtra,3.6,719.54,318.36,17.34,12.14,3.37
F0417,Cotton,Rabi,Punjab,7.55,1110.28,142.65,20.86,34.13,4.52
F0207,Maize,Rabi,Maharashtra,1.7,455.83,354.29,43.64,3.55,2.09
F0388,Wheat,Kharif,Punjab,2.25,426.78,415.78,31.04,5.12,2.27
F0224,Cotton,Zaid,Karnataka,6.37,1237.75,366.47,42.55,26.58,4.17
F0117,Rice,Rabi,Karnataka,6.58,676.99,481.09,6.5,22.14,3.36
F0407,Wheat,Rabi,Karnataka,6.01,499.8,370.5,12.92,13.29,2.21
F0082,Maize,Rabi,Maharashtra,9.19,554.06,114.91,39.15,9.7,1.06
F0018,Sugarcane,Zaid,Punjab,5.26,1394.14,115.98,34.07,21.49,4.09
F0492,Maize,Kharif,Karnataka,6.99,1012.42,389.67,18.93,24.94,3.57
F0133,Rice,Rabi,Punjab,4.76,786.57,492.84,18.15,13.56,2.85
F0195,Sugarcane,Zaid,Karnataka,5.86,602.79,461.88,16.96,11.95,2.04
F0141,Sugarcane,Kharif,Karnataka,9.01,424.17,345.45,45.81,20.24,2.25
F0144,Maize,Kharif,Karnataka,6.93,661.9,134.74,18.67,15.26,2.2
F0416,Cotton,Zaid,Punjab,1.38,472.64,97.1,24.03,1.9,1.38
F0158,Wheat,Rabi,Karnataka,1.74,1072.11,138.73,9.39,6.36,3.66
F0133,Rice,Kharif,Madhya Pradesh,2.09,1408.48,419.66,20.93,11.06,5.29
F0473,Cotton,Zaid,Karnataka,6.93,1119.21,332.93,16.97,34.96,5.04
F0092,Wheat,Kharif,Karnataka,0.87,846.68,450.94,30.63,3.19,3.66
F0197,Maize,Kharif,Uttar Pradesh,6.91,1475.95,493.52,35.9,34.13,4.94
F0124,Wheat,Kharif,Uttar Pradesh,2.81,1258.27,98.16,40.13,10.74,3.82
F0209,Cotton,Zaid,Punjab,6.49,816.17,246.99,18.97,21.46,3.31
F0027,Sugarcane,Rabi,Punjab,7.74,1423.41,473.34,12.87,41.71,5.39
F0160,Sugarcane,Zaid,Maharashtra,2.9,380.74,170.6,46.05,5.02,1.73
F0479,Sugarcane,Zaid,Madhya Pradesh,6.52,1165.27,165.72,37.37,24.45,3.75
F0137,Cotton,Rabi,Karnataka,6.45,475.32,420.35,15.58,13.55,2.1
F0139,Rice,Rabi,Karnataka,6.7,786.24,318.22,9.84,22.65,3.38
F0460,Cotton,Rabi,Punjab,9.99,553.72,169.33,34.83,16.78,1.68
F0278,Cotton,Rabi,Punjab,9.67,1398.98,276.29,40.78,42.65,4.41
F0248,Wheat,Kharif,Madhya Pradesh,3.08,1279.15,220.24,8.98,12.69,4.12
F0312,Maize,Rabi,Punjab,3.75,1477.66,333.36,23.73,17.97,4.79
F0135,Sugarcane,Zaid,Maharashtra,1.17,367.95,104.17,31.13,1.99,1.7
F0067,Wheat,Zaid,Madhya Pradesh,9.32,896.09,429.33,25.06,37.58,4.03
F0205,Maize,Kharif,Punjab,2.15,733.46,336.79,8.18,7.15,3.33
F0325,Rice,Rabi,Madhya Pradesh,3.93,941.76,498.3,26.35,14.37,3.66
F0089,Cotton,Kharif,Punjab,8.07,1014.5,448.97,23.49,36.83,4.56
F0400,Rice,Kharif,Karnataka,6.24,1056.02,237.82,11.49,21.59,3.46
F0002,Cotton,Rabi,Punjab,2.51,1183.24,194.01,27.77,10.43,4.15
F0447,Wheat,Kharif,Uttar Pradesh,2.04,1451.69,433.21,43.87,12.03,5.9
F0285,Rice,Kharif,Karnataka,1.87,310.34,58.99,31.4,1.87,1.0
F0155,Cotton,Zaid,Uttar Pradesh,4.83,921.62,53.36,24.02,12.66,2.62
F0191,Cotton,Zaid,Karnataka,7.46,579.62,415.91,31.48,25.38,3.4
F0360,Sugarcane,Kharif,Maharashtra,2.5,584.06,332.61,42.35,4.01,1.6
F0142,Sugarcane,Kharif,Maharashtra,8.74,1103.12,251.64,26.96,30.73,3.52
F0397,Sugarcane,Kharif,Maharashtra,2.44,1052.16,211.43,49.8,6.15,2.52
F0448,Sugarcane,Rabi,Uttar Pradesh,5.88,1400.11,410.37,25.3,21.05,3.58
F0306,Rice,Rabi,Maharashtra,7.33,1003.48,271.57,13.65,20.02,2.73
F0085,Wheat,Kharif,Maharashtra,9.19,702.49,478.52,28.99,26.84,2.92
F0162,Rice,Kharif,Maharashtra,6.5,951.53,108.22,21.91,20.62,3.17
F0322,Cotton,Kharif,Uttar Pradesh,4.75,1233.58,149.21,12.41,17.03,3.59
F0329,Cotton,Rabi,Madhya Pradesh,4.36,1411.9,369.69,23.85,19.72,4.52
F0441,Maize,Zaid,Punjab,9.85,1099.69,178.43,31.36,35.88,3.64
F0322,Maize,Kharif,Madhya Pradesh,1.54,1459.0,128.65,34.16,7.72,5.01
F0300,Maize,Kharif,Madhya Pradesh,7.88,1108.1,326.52,45.16,27.19,3.45
F0048,Cotton,Kharif,Punjab,1.25,697.1,161.73,49.46,3.88,3.1
F0303,Rice,Kharif,Madhya Pradesh,7.0,554.5,157.55,17.66,11.28,1.61
F0103,Sugarcane,Rabi,Madhya Pradesh,4.41,581.19,58.84,44.57,7.83,1.78
F0327,Cotton,Kharif,Uttar Pradesh,3.72,308.51,356.11,42.14,6.39,1.72
F0110,Cotton,Rabi,Punjab,1.89,491.6,405.54,32.73,4.38,2.32
F0079,Cotton,Zaid,Uttar Pradesh,3.43,742.47,396.38,41.49,9.41,2.74
F0402,Cotton,Kharif,Maharashtra,4.3,1436.58,232.91,39.73,22.42,5.21
F0065,Cotton,Rabi,Maharashtra,9.12,404.9,471.42,42.15,19.12,2.1
F0302,Wheat,Rabi,Punjab,8.02,541.09,412.3,43.26,19.61,2.45
F0137,Rice,Kharif,Uttar Pradesh,0.97,479.89,291.91,30.91,1.91,1.97
F0335,Wheat,Zaid,Uttar Pradesh,6.63,320.36,482.17,7.01,15.12,2.28
F0392,Rice,Rabi,Uttar Pradesh,6.83,1287.19,55.98,29.39,27.32,4.0
F0356,Cotton,Rabi,Maharashtra,4.87,898.76,82.5,35.8,17.64,3.62
F0347,Sugarcane,Zaid,Uttar Pradesh,5.11,479.26,341.72,12.76,10.82,2.12
F0331,Sugarcane,Kharif,Karnataka,8.79,1035.74,120.74,48.31,25.53,2.9
F0421,Maize,Kharif,Maharashtra,6.45,603.84,411.66,41.8,16.83,2.61
F0418,Rice,Rabi,Maharashtra,9.8,902.24,254.73,38.91,31.82,3.25
F0026,Wheat,Kharif,Punjab,5.69,407.37,238.09,43.4,6.33,1.11
F0434,Sugarcane,Zaid,Madhya Pradesh,8.63,419.09,90.82,16.82,9.97,1.15
F0149,Cotton,Zaid,Maharashtra,6.42,727.28,405.01,15.52,20.05,3.12
F0045,Wheat,Kharif,Maharashtra,6.57,582.82,371.15,44.32,12.81,1.95
F0024,Rice,Rabi,Karnataka,4.56,493.03,365.16,39.15,10.47,2.3
F0195,Sugarcane,Zaid,Uttar Pradesh,1.51,907.37,416.58,47.13,5.78,3.83
F0093,Sugarcane,Zaid,Madhya Pradesh,5.59,773.03,431.69,27.18,17.69,3.16
F0125,Wheat,Rabi,Karnataka,4.98,888.37,431.05,42.44,13.14,2.64
F0397,Cotton,Rabi,Madhya Pradesh,5.17,987.33,157.25,40.73,14.2,2.75
F0433,Sugarcane,Zaid,Punjab,5.12,700.85,98.07,15.75,11.4,2.23
F0489,Cotton,Kharif,Maharashtra,2.1,852.81,188.19,6.58,6.43,3.06
F0329,Maize,Kharif,Maharashtra,3.57,952.93,298.27,21.05,13.17,3.69
F0406,Rice,Zaid,Maharashtra,4.08,609.87,159.56,25.6,8.55,2.09
F0439,Wheat,Rabi,Madhya Pradesh,7.72,547.19,369.18,5.95,23.84,3.09
F0257,Wheat,Kharif,Punjab,3.72,976.48,142.24,38.39,11.03,2.97
F0253,Rice,Kharif,Uttar Pradesh,1.0,1323.05,139.19,44.35,4.86,4.86
F0257,Wheat,Zaid,Madhya Pradesh,3.53,1387.09,106.99,13.03,13.86,3.93
F0266,Sugarcane,Rabi,Madhya Pradesh,5.18,398.33,138.19,47.47,7.21,1.39
F0248,Maize,Zaid,Karnataka,9.27,953.79,171.38,36.61,30.48,3.29
F0350,Sugarcane,Zaid,Punjab,6.76,1486.95,169.27,35.24,34.19,5.06
F0368,Maize,Zaid,Maharashtra,5.34,660.08,118.07,17.81,13.4,2.51
F0001,Sugarcane,Kharif,Maharashtra,4.07,1207.57,292.85,8.49,18.49,4.54
F0365,Maize,Zaid,Karnataka,6.56,1262.19,259.87,21.27,27.65,4.21
F0077,Wheat,Rabi,Uttar Pradesh,1.53,1351.12,402.42,12.57,5.41,3.53
F0416,Rice,Zaid,Punjab,6.44,1435.42,310.9,29.31,39.76,6.17
F0158,Cotton,Zaid,Karnataka,0.98,375.49,134.31,6.46,1.79,1.82
F0120,Sugarcane,Kharif,Karnataka,1.79,1303.29,119.65,18.55,8.24,4.61
F0365,Wheat,Zaid,Maharashtra,2.87,746.77,164.6,27.0,7.57,2.64
F0268,Wheat,Rabi,Madhya Pradesh,1.03,470.62,73.77,33.16,1.55,1.51
F0085,Rice,Kharif,Karnataka,1.02,1303.73,280.37,28.72,3.9,3.82
F0404,Rice,Kharif,Maharashtra,2.38,682.58,317.07,14.46,6.63,2.78
F0222,Cotton,Kharif,Uttar Pradesh,1.61,1464.14,59.89,41.12,6.65,4.13
F0444,Wheat,Rabi,Madhya Pradesh,1.79,474.75,363.84,33.93,4.66,2.6
F0310,Sugarcane,Kharif,Maharashtra,7.94,1424.98,361.37,12.01,42.1,5.3
F0024,Rice,Kharif,Madhya Pradesh,2.49,387.03,366.48,23.11,4.07,1.63
F0004,Cotton,Zaid,Madhya Pradesh,9.24,1080.31,90.69,47.65,27.38,2.96
F0049,Cotton,Rabi,Karnataka,4.32,361.47,273.43,10.55,4.37,1.01
F0173,Wheat,Rabi,Punjab,4.31,720.85,397.78,41.14,11.73,2.72
F0362,Maize,Kharif,Punjab,4.05,481.69,409.3,36.83,6.96,1.72
F0015,Wheat,Kharif,Punjab,2.31,740.07,97.61,33.27,4.9,2.12
F0106,Sugarcane,Rabi,Karnataka,6.0,1393.61,299.34,12.85,32.58,5.43
F0381,Cotton,Zaid,Punjab,4.1,1311.77,339.9,34.28,22.19,5.41
F0096,Cotton,Zaid,Punjab,7.69,1028.06,125.05,40.88,26.5,3.45
F0319,Sugarcane,Kharif,Maharashtra,7.34,403.36,258.71,12.83,16.61,2.26
F0147,Maize,Zaid,Uttar Pradesh,6.39,1096.19,426.33,14.7,19.37,3.03
F0208,Wheat,Zaid,Punjab,1.64,1321.84,120.48,48.86,6.82,4.16
F0068,Rice,Zaid,Madhya Pradesh,9.82,416.85,186.38,33.72,21.65,2.2
F0040,Rice,Kharif,Karnataka,3.83,1414.05,79.53,29.72,20.09,5.25
F0004,Rice,Rabi,Karnataka,2.93,737.48,429.66,13.77,10.48,3.58
F0301,Maize,Rabi,Madhya Pradesh,8.36,975.19,392.98,37.11,32.08,3.84
F0085,Wheat,Zaid,Punjab,8.74,818.54,484.97,25.35,23.65,2.71
F0196,Wheat,Rabi,Punjab,1.86,767.32,478.27,19.39,5.41,2.91
F0077,Maize,Zaid,Uttar Pradesh,7.38,673.81,402.32,24.92,19.8,2.68
F0237,Cotton,Zaid,Madhya Pradesh,5.11,1233.49,222.06,24.94,17.29,3.38
F0279,Cotton,Zaid,Madhya Pradesh,5.5,1270.56,212.8,28.59,19.37,3.52
F0156,Rice,Rabi,Karnataka,6.87,623.33,174.89,47.0,16.87,2.46
F0375,Sugarcane,Kharif,Karnataka,6.65,335.16,328.15,27.93,16.3,2.45
F0080,Wheat,Zaid,Punjab,5.68,731.31,86.66,13.7,13.04,2.3
F0149,Wheat,Rabi,Madhya Pradesh,4.93,363.25,66.9,37.27,7.25,1.47
F0455,Sugarcane,Zaid,Uttar Pradesh,5.61,910.45,159.41,38.51,15.71,2.8
F0267,Wheat,Rabi,Punjab,4.88,643.54,161.36,34.04,9.72,1.99
F0005,Rice,Zaid,Uttar Pradesh,6.68,1289.42,237.97,8.29,34.3,5.14
F0364,Wheat,Kharif,Madhya Pradesh,0.57,921.85,66.89,30.62,1.84,3.24
F0471,Rice,Zaid,Punjab,9.25,1462.1,293.25,25.62,46.48,5.02
F0329,Wheat,Rabi,Karnataka,1.12,858.87,158.11,26.14,3.43,3.07
F0143,Wheat,Zaid,Madhya Pradesh,4.83,998.57,210.55,12.39,19.55,4.05
