state,year,month,rainfall_mm,avg_temperature_celsius,humidity_percent,drought_flag
Punjab,2020,3,73.25,30.91,40.92,0
Madhya Pradesh,2024,10,113.16,36.98,44.09,0
Madhya Pradesh,2021,2,23.4,18.52,71.73,0
Karnataka,2021,12,94.99,30.03,45.08,0
Uttar Pradesh,2020,8,356.36,31.08,62.29,0
Uttar Pradesh,2024,8,595.11,21.0,75.18,0
Punjab,2021,7,361.73,27.42,76.64,0
Punjab,2020,5,106.94,39.81,38.35,0
Uttar Pradesh,2022,8,241.64,33.94,67.6,0
Karnataka,2022,4,48.38,19.75,35.57,0
Karnataka,2022,7,557.68,22.22,51.02,0
Karnataka,2023,12,41.73,25.81,34.51,0
Uttar Pradesh,2020,4,82.67,19.49,82.02,0
Punjab,2022,3,42.72,29.88,87.21,0
Karnataka,2020,6,460.35,29.73,51.08,0
Karnataka,2020,11,56.62,32.73,94.62,0
Punjab,2022,6,464.74,30.27,77.49,0
Punjab,2022,5,75.13,19.32,66.55,0
Karnataka,2024,7,583.05,21.86,74.85,0
Punjab,2022,12,38.13,29.79,36.28,0
Karnataka,2024,11,73.05,34.64,52.59,0
Maharashtra,2023,9,465.96,35.5,90.27,0
Karnataka,2023,2,42.85,26.78,39.91,0
Karnataka,2024,12,148.95,38.39,65.1,0
Maharashtra,2023,2,127.88,29.46,70.53,0
Madhya Pradesh,2021,10,22.48,34.62,38.3,0
Punjab,2021,8,530.43,35.2,76.07,0
Madhya Pradesh,2021,11,15.06,24.67,47.1,0
Uttar Pradesh,2021,10,60.42,19.93,90.9,0
Maharashtra,2023,1,87.53,24.72,55.8,0
Punjab,2021,6,378.88,31.21,63.52,0
Karnataka,2022,2,138.71,28.93,94.49,0
Uttar Pradesh,2021,12,129.2,22.59,90.49,0
Maharashtra,2022,10,26.29,35.98,54.74,0
Uttar Pradesh,2024,4,132.92,37.1,82.39,0
Karnataka,2020,6,516.01,24.7,35.26,0
Uttar Pradesh,2024,12,66.42,21.82,75.17,0
Karnataka,2023,10,58.45,39.46,71.66,0
Madhya Pradesh,2021,6,528.99,20.92,86.03,0
Punjab,2020,9,569.1,28.72,69.41,0
Karnataka,2022,3,117.07,21.85,62.67,0
Karnataka,2024,11,65.81,21.22,53.89,0
Karnataka,2024,1,19.54,18.57,38.79,0
Karnataka,2023,5,144.84,30.09,92.78,0
Punjab,2022,6,373.0,24.86,62.9,0
Maharashtra,2024,6,375.8,20.32,71.65,0
Uttar Pradesh,2022,8,286.42,31.63,72.26,0
Madhya Pradesh,2020,6,260.81,19.35,80.75,0
Karnataka,2023,4,74.37,19.28,94.67,0
Karnataka,2021,5,18.09,33.29,93.94,0
Maharashtra,2020,6,295.67,21.13,37.89,0
Madhya Pradesh,2023,10,52.46,20.22,74.99,0
Maharashtra,2024,7,224.92,29.21,94.79,0
Madhya Pradesh,2023,5,123.96,31.53,49.91,0
Punjab,2021,5,97.35,29.59,57.7,0
Karnataka,2020,4,28.3,37.51,59.24,0
Uttar Pradesh,2022,10,37.25,26.09,56.92,0
Uttar Pradesh,2023,5,125.86,34.14,80.0,0
Karnataka,2020,11,11.54,27.16,61.29,0
Madhya Pradesh,2023,7,207.68,23.72,79.42,0
Maharashtra,2023,10,29.2,29.78,43.99,0
Madhya Pradesh,2021,4,11.7,23.31,93.43,0
Karnataka,2024,6,520.61,39.11,61.71,0
Madhya Pradesh,2023,1,25.36,30.06,59.53,0
Madhya Pradesh,2022,1,128.21,20.16,61.74,0
Uttar Pradesh,2024,2,31.01,25.14,77.93,0
Punjab,2024,8,390.41,26.27,55.64,0
Karnataka,2022,10,74.32,35.27,87.99,0
Uttar Pradesh,2020,5,143.75,35.31,50.5,0
Uttar Pradesh,2024,7,475.25,27.63,46.55,0
Karnataka,2022,3,127.72,18.85,88.61,0
Uttar Pradesh,2022,1,74.61,32.02,72.86,0
Maharashtra,2022,10,135.32,32.01,69.91,0
Uttar Pradesh,2021,8,226.66,29.4,39.76,0
Maharashtra,2021,12,113.24,29.27,74.21,0
Madhya Pradesh,2021,10,15.83,19.87,76.56,0
Punjab,2020,6,228.83,19.57,30.79,0
Uttar Pradesh,2024,11,143.91,34.23,52.96,0
Maharashtra,2020,1,51.51,25.69,80.35,0
Maharashtra,2021,8,464.55,22.07,41.32,0
Madhya Pradesh,2024,5,23.78,32.53,79.68,0
Punjab,2020,12,47.11,18.46,35.34,0
Maharashtra,2023,2,145.5,24.5,80.0,0
Uttar Pradesh,2020,3,97.45,26.4,43.37,0
Maharashtra,2020,4,26.99,31.53,80.35,0
Uttar Pradesh,2020,1,100.15,29.67,32.73,0
Uttar Pradesh,2024,4,145.59,35.57,49.03,0
Punjab,2021,12,147.2,31.24,67.86,0
Madhya Pradesh,2021,6,499.23,35.86,72.67,0
Punjab,2020,4,27.93,25.44,90.33,0
Maharashtra,2020,5,41.45,26.19,58.08,0
Uttar Pradesh,2024,2,71.52,31.48,91.3,0
Punjab,2021,8,296.28,20.67,42.84,0
Uttar Pradesh,2023,7,554.77,32.21,48.58,0
Maharashtra,2020,9,526.38,36.95,85.02,0
Maharashtra,2020,12,138.65,23.55,79.08,0
Maharashtra,2020,6,384.22,36.52,77.35,0
Punjab,2023,10,118.7,32.44,41.53,0
Madhya Pradesh,2020,3,86.3,39.66,90.93,0
Punjab,2024,2,16.04,21.63,38.56,0
Uttar Pradesh,2024,5,111.64,35.99,43.88,0
Punjab,2020,5,80.82,36.5,77.63,0
Karnataka,2024,1,85.91,30.99,63.04,0
Punjab,2021,11,51.66,30.43,74.78,0
Punjab,2023,12,132.27,32.0,79.47,0
Uttar Pradesh,2021,9,264.03,28.15,30.61,0
Karnataka,2024,5,44.54,33.98,94.47,0
Uttar Pradesh,2021,5,23.88,26.83,82.0,0
Madhya Pradesh,2022,1,38.56,30.21,77.65,0
Maharashtra,2020,6,446.39,22.14,53.1,0
Maharashtra,2024,12,119.73,30.19,30.34,0
Karnataka,2024,2,116.54,18.78,78.47,0
Karnataka,2022,6,280.99,39.08,53.92,0
Uttar Pradesh,2021,4,55.77,21.28,49.86,0
Karnataka,2020,7,550.66,39.92,53.94,0
Maharashtra,2021,6,379.44,33.89,87.6,0
Punjab,2022,4,93.03,26.61,56.82,0
Punjab,2022,3,107.39,18.07,70.27,0
Karnataka,2020,2,59.77,35.47,36.04,0
Punjab,2024,3,92.35,28.58,71.75,0
Karnataka,2023,9,225.94,30.76,66.5,0
Madhya Pradesh,2020,2,88.49,31.28,73.97,0
Punjab,2021,2,122.7,23.94,83.63,0
Karnataka,2023,4,79.76,19.7,33.81,0
Madhya Pradesh,2023,7,333.7,35.27,76.0,0
Punjab,2022,10,120.41,29.38,58.61,0
Karnataka,2023,10,30.64,25.22,58.21,0
Madhya Pradesh,2022,9,235.44,22.85,68.88,0
Maharashtra,2020,1,112.99,39.96,90.65,0
Madhya Pradesh,2021,7,457.03,27.27,71.35,0
Uttar Pradesh,2024,1,119.99,20.6,56.64,0
Madhya Pradesh,2021,8,535.92,26.44,67.17,0
Uttar Pradesh,2020,8,435.11,22.06,53.55,0
Karnataka,2022,3,56.83,18.58,31.57,0
Madhya Pradesh,2023,4,126.44,24.01,63.68,0
Madhya Pradesh,2024,6,319.49,38.69,46.85,0
Karnataka,2021,2,70.15,37.2,84.73,0
Maharashtra,2021,9,274.44,35.66,59.78,0
Karnataka,2024,10,77.62,20.94,35.24,0
Uttar Pradesh,2022,3,111.91,28.92,58.4,0
Maharashtra,2021,2,112.13,34.84,40.33,0
Punjab,2022,8,444.09,20.98,78.84,0
Punjab,2022,4,101.97,39.05,34.48,0
Uttar Pradesh,2022,11,17.99,24.21,47.01,0
Madhya Pradesh,2021,2,44.58,37.94,46.22,0
Karnataka,2023,12,48.07,34.71,59.23,0
Uttar Pradesh,2021,6,510.68,19.44,61.69,0
Uttar Pradesh,2020,8,213.45,19.38,88.92,0
Uttar Pradesh,2021,4,29.49,29.71,56.72,0
Karnataka,2024,10,58.63,37.8,31.42,0
Punjab,2024,12,102.93,39.19,66.41,0
Uttar Pradesh,2024,6,574.73,19.15,57.22,0
Uttar Pradesh,2024,7,304.06,34.08,93.78,0
Karnataka,2023,10,45.91,32.39,42.88,0
Punjab,2024,3,89.15,28.21,93.18,0
Uttar Pradesh,2020,8,443.41,25.69,37.42,0
Madhya Pradesh,2020,2,31.17,22.96,46.31,0
Karnataka,2022,7,540.25,30.35,64.02,0
Madhya Pradesh,2023,6,245.91,36.92,76.98,0
Punjab,2023,11,19.47,33.57,65.33,0
Uttar Pradesh,2023,10,21.44,28.08,61.51,0
Madhya Pradesh,2020,8,266.31,38.81,85.25,0
Karnataka,2022,7,467.61,28.17,56.76,0
Karnataka,2023,11,101.14,30.0,34.05,0
Karnataka,2023,11,81.75,35.74,59.85,0
Uttar Pradesh,2024,5,17.27,35.3,43.09,0
Maharashtra,2023,3,46.21,21.62,51.46,0
Punjab,2023,3,115.95,29.43,43.32,0
Punjab,2022,10,132.9,37.35,86.59,0
Madhya Pradesh,2024,6,295.52,27.93,94.02,0
Maharashtra,2022,2,118.08,18.6,34.24,0
Punjab,2022,9,385.57,38.0,65.02,0
Maharashtra,2022,6,399.13,20.32,72.69,0
Uttar Pradesh,2023,6,528.84,26.37,80.41,0
Punjab,2021,7,585.79,22.48,64.02,0
Karnataka,2020,3,50.2,35.44,67.54,0
Punjab,2021,4,98.84,35.55,55.74,0
Karnataka,2024,1,138.11,29.73,40.27,0
Madhya Pradesh,2022,1,107.43,35.45,50.59,0
Punjab,2021,6,542.87,37.94,48.0,0
Madhya Pradesh,2024,5,147.69,21.1,43.13,0
Maharashtra,2023,6,273.69,37.67,72.53,0
Punjab,2020,1,31.29,27.69,69.99,0
Madhya Pradesh,2020,9,233.39,37.41,82.23,0
Punjab,2020,1,80.73,39.28,57.15,0
Maharashtra,2024,7,593.64,32.69,71.25,0
Uttar Pradesh,2024,2,33.23,37.4,57.79,0
Madhya Pradesh,2023,12,32.71,18.28,66.38,0
Karnataka,2024,11,83.84,33.83,87.87,0
Madhya Pradesh,2020,9,231.76,34.09,42.18,0
Uttar Pradesh,2023,4,130.14,36.02,65.15,0
Maharashtra,2024,12,109.43,24.92,60.63,0
Uttar Pradesh,2020,8,528.65,28.1,53.26,0
Karnataka,2022,7,397.68,36.22,51.79,0
Karnataka,2024,7,269.5,33.66,83.69,0
Karnataka,2024,6,240.25,23.28,39.23,0
Maharashtra,2024,5,58.71,27.91,78.67,0
Punjab,2023,10,101.16,31.66,52.9,0
Punjab,2021,3,127.8,28.37,93.64,0
Madhya Pradesh,2022,8,453.66,20.78,73.95,0
Maharashtra,2024,8,330.04,33.1,34.53,0
Punjab,2020,12,34.48,36.83,44.77,0
Madhya Pradesh,2024,11,127.19,24.14,71.79,0
Karnataka,2021,1,107.18,29.28,49.85,0
Karnataka,2020,11,39.77,18.73,49.76,0
Karnataka,2023,7,461.27,38.64,86.63,0
Punjab,2023,8,506.43,35.35,73.22,0
Maharashtra,2024,5,46.44,37.96,73.6,0
Uttar Pradesh,2020,7,424.18,20.44,59.06,0
Uttar Pradesh,2024,5,74.45,37.02,65.53,0
Karnataka,2024,10,63.26,39.49,37.2,0
Karnataka,2022,4,69.16,18.92,78.09,0
Punjab,2021,2,138.53,24.16,85.79,0
Uttar Pradesh,2023,11,50.91,38.04,79.01,0
Uttar Pradesh,2022,5,122.69,18.4,92.58,0
Madhya Pradesh,2020,9,490.67,24.7,83.91,0
Karnataka,2020,12,49.41,37.2,37.32,0
Uttar Pradesh,2021,5,108.52,29.9,36.27,0
Karnataka,2022,12,43.87,18.27,60.47,0
Maharashtra,2022,1,52.18,31.16,49.32,0
Uttar Pradesh,2021,4,51.99,34.35,33.13,0
Uttar Pradesh,2020,8,561.16,36.75,73.41,0
Uttar Pradesh,2022,8,437.29,37.63,42.05,0
Madhya Pradesh,2022,10,21.06,23.27,81.65,0
Madhya Pradesh,2020,7,213.87,30.82,94.7,0
Punjab,2022,11,129.8,29.47,34.14,0
Karnataka,2021,6,532.55,31.18,37.47,0
Punjab,2020,9,237.54,38.01,73.5,0
Uttar Pradesh,2023,8,531.71,37.34,67.17,0
Punjab,2020,9,406.98,27.47,50.6,0
Maharashtra,2020,3,70.84,35.03,69.13,0
Uttar Pradesh,2024,6,557.01,27.75,69.46,0
Karnataka,2023,10,98.38,31.02,75.67,0
Maharashtra,2020,2,43.24,29.27,36.77,0
Uttar Pradesh,2023,3,63.83,28.73,72.39,0
Uttar Pradesh,2022,4,143.07,31.21,78.33,0
Uttar Pradesh,2022,2,80.88,31.95,34.61,0
Karnataka,2022,7,301.76,25.96,60.71,0
Madhya Pradesh,2023,8,218.26,21.08,47.99,0
Maharashtra,2021,3,146.01,25.29,61.33,0
Madhya Pradesh,2022,1,37.45,31.44,48.24,0
Karnataka,2020,12,38.98,29.36,30.36,0
Maharashtra,2024,5,11.07,22.82,32.39,0
Punjab,2024,12,25.12,25.45,82.17,0
Punjab,2023,2,90.09,29.28,49.08,0
Uttar Pradesh,2022,3,140.45,26.73,35.66,0
Uttar Pradesh,2022,10,96.39,20.5,52.44,0
Maharashtra,2020,8,402.96,37.23,62.08,0
Madhya Pradesh,2024,11,108.32,39.84,38.55,0
Uttar Pradesh,2022,3,48.46,26.68,57.42,0
Punjab,2020,5,67.54,37.97,76.41,0
Maharashtra,2020,6,443.16,24.81,83.55,0
Uttar Pradesh,2022,8,582.02,36.07,30.1,0
Madhya Pradesh,2024,9,454.56,19.12,46.74,0
Madhya Pradesh,2021,7,223.81,31.28,74.63,0
Karnataka,2020,10,26.03,26.44,59.66,0
Punjab,2023,5,61.67,20.66,57.23,0
Karnataka,2022,1,115.16,19.56,35.21,0
Punjab,2022,3,59.67,38.72,73.46,0
Uttar Pradesh,2023,10,105.01,25.96,68.59,0
Karnataka,2024,4,11.42,31.99,89.36,0
Karnataka,2021,3,95.76,37.22,77.06,0
Punjab,2020,4,26.88,37.85,34.32,0
Karnataka,2021,3,84.76,21.13,30.76,0
Maharashtra,2023,6,368.81,24.49,61.59,0
Uttar Pradesh,2024,7,430.88,18.96,38.0,0
Uttar Pradesh,2024,2,88.21,25.55,77.4,0
Uttar Pradesh,2020,7,460.92,36.6,75.01,0
Maharashtra,2020,6,371.97,32.81,47.9,0
Uttar Pradesh,2022,6,322.53,35.36,59.02,0
Madhya Pradesh,2022,11,121.77,36.09,85.74,0
Uttar Pradesh,2024,12,138.33,27.48,50.73,0
Maharashtra,2023,12,91.51,26.17,69.07,0
Karnataka,2020,12,108.78,33.14,54.35,0
Maharashtra,2020,5,33.36,27.47,39.27,0
Uttar Pradesh,2020,7,556.04,25.61,40.04,0
Punjab,2021,1,13.56,32.21,71.4,0
Punjab,2022,7,336.24,19.58,56.63,0
Punjab,2024,5,53.57,32.9,69.38,0
Maharashtra,2022,3,61.04,22.79,94.22,0
Punjab,2024,5,73.56,33.14,39.14,0
Maharashtra,2023,4,77.98,18.61,62.85,0
Uttar Pradesh,2023,3,144.96,26.45,32.53,0
Uttar Pradesh,2021,4,14.33,26.54,40.4,0
Karnataka,2023,5,13.27,34.64,59.8,0
Maharashtra,2021,3,50.49,37.8,37.55,0
Uttar Pradesh,2021,7,582.37,24.91,87.75,0
Maharashtra,2022,8,441.18,36.19,93.96,0
Uttar Pradesh,2022,4,50.38,39.14,55.32,0
Karnataka,2024,2,63.97,25.49,65.19,0
Karnataka,2024,6,261.66,30.18,65.21,0
Maharashtra,2020,8,504.76,36.34,58.63,0
Uttar Pradesh,2023,8,320.93,23.71,42.65,0
Punjab,2023,9,223.06,25.53,47.57,0
Uttar Pradesh,2020,4,145.3,30.27,52.57,0
Maharashtra,2021,8,432.19,21.06,58.86,0
Maharashtra,2022,3,97.67,28.76,56.12,0
Maharashtra,2024,9,597.54,37.37,70.52,0
Karnataka,2023,4,89.71,31.65,43.09,0
Punjab,2021,8,358.06,18.87,60.91,0
Karnataka,2022,7,417.21,23.01,92.66,0
Uttar Pradesh,2020,6,563.78,33.89,64.67,0
Madhya Pradesh,2022,12,131.8,20.87,81.38,0
Maharashtra,2022,5,27.47,35.47,47.92,0
Uttar Pradesh,2020,11,132.79,38.77,39.67,0
Maharashtra,2023,3,74.77,39.58,61.42,0
Punjab,2024,11,130.9,30.95,54.4,0
Maharashtra,2023,4,50.01,22.47,79.52,0
Punjab,2022,7,354.62,29.25,62.0,0
Uttar Pradesh,2023,9,430.91,37.04,93.75,0
Uttar Pradesh,2023,8,363.03,36.21,79.69,0
Uttar Pradesh,2023,4,90.29,39.03,43.03,0
Maharashtra,2021,6,243.71,36.79,58.54,0
Maharashtra,2024,10,128.58,37.65,34.06,0
Karnataka,2023,3,133.69,27.86,63.18,0
Uttar Pradesh,2022,7,450.64,38.38,31.24,0
Maharashtra,2022,5,76.76,33.13,76.98,0
Karnataka,2022,1,106.95,20.96,49.46,0
Uttar Pradesh,2023,10,60.22,35.7,48.12,0
Maharashtra,2024,7,284.28,39.06,30.58,0
Maharashtra,2022,1,149.69,32.89,83.85,0
Karnataka,2020,6,317.85,18.31,77.96,0
Madhya Pradesh,2021,9,533.66,34.29,39.29,0
Maharashtra,2022,11,115.48,34.92,72.81,0
Karnataka,2024,1,117.26,36.61,69.88,0
Karnataka,2024,10,22.4,28.73,35.05,0
Madhya Pradesh,2021,8,363.02,26.96,34.29,0
Maharashtra,2021,5,58.83,20.44,82.54,0
Karnataka,2022,12,142.68,19.59,92.08,0
Punjab,2021,3,83.16,24.59,35.0,0
Maharashtra,2021,8,400.25,35.48,75.96,0
Maharashtra,2022,4,17.03,19.6,56.19,0
Karnataka,2020,11,51.34,23.11,48.27,0
Karnataka,2021,9,521.39,38.44,56.33,0
Karnataka,2021,11,136.86,25.07,60.97,0
Uttar Pradesh,2020,8,290.41,32.09,93.63,0
Uttar Pradesh,2024,12,94.49,25.87,72.11,0
Madhya Pradesh,2022,4,27.21,37.55,62.7,0
Karnataka,2024,9,379.74,30.89,70.61,0
Maharashtra,2020,3,20.05,33.02,45.73,0
Maharashtra,2023,5,109.95,36.1,82.26,0
Maharashtra,2023,5,87.35,29.44,39.29,0
Punjab,2020,2,118.55,23.97,62.29,0
Maharashtra,2024,8,313.71,20.94,70.92,0
Maharashtra,2021,4,17.61,34.47,50.64,0
Karnataka,2023,12,10.02,29.24,33.05,0
Uttar Pradesh,2020,9,310.47,33.55,34.07,0
Uttar Pradesh,2021,4,127.51,18.08,46.04,0
Madhya Pradesh,2022,6,496.36,24.96,36.62,0
Maharashtra,2023,10,60.43,23.95,84.78,0
Punjab,2020,12,53.87,35.36,87.97,0
Madhya Pradesh,2022,11,70.73,38.02,54.53,0
Maharashtra,2023,6,585.63,19.96,74.66,0
Maharashtra,2023,7,397.53,26.53,71.13,0
Punjab,2022,4,108.54,18.1,40.85,0
Uttar Pradesh,2020,9,485.22,32.66,92.79,0
Maharashtra,2020,3,116.55,38.92,75.67,0
Karnataka,2024,5,51.73,20.32,80.82,0
Uttar Pradesh,2021,10,100.18,19.06,53.4,0
Punjab,2020,9,582.72,29.01,58.13,0
Punjab,2024,12,74.08,22.6,53.97,0
Maharashtra,2023,9,347.93,19.15,79.89,0
Uttar Pradesh,2020,6,366.6,36.09,85.27,0
Madhya Pradesh,2023,2,39.68,32.46,60.7,0
Maharashtra,2020,3,133.22,22.75,74.06,0
Uttar Pradesh,2024,1,95.09,24.5,38.88,0
Madhya Pradesh,2024,10,101.23,34.25,50.52,0
Uttar Pradesh,2023,9,457.93,26.69,76.36,0
Punjab,2023,12,37.89,37.58,48.68,0
Maharashtra,2024,9,347.11,19.28,37.25,0
Uttar Pradesh,2021,4,82.22,23.89,84.31,0
Madhya Pradesh,2021,7,205.88,26.34,51.93,0
Punjab,2023,5,12.71,20.74,56.89,0
Punjab,2021,5,79.0,26.89,64.51,0
Punjab,2023,10,93.32,18.22,60.17,0
Uttar Pradesh,2023,6,585.4,29.42,74.04,0
Punjab,2022,5,53.66,35.03,80.24,0
Maharashtra,2021,7,408.52,39.47,38.16,0
Karnataka,2024,10,12.37,34.94,82.47,0
Madhya Pradesh,2022,7,248.08,23.84,31.14,0
Punjab,2020,6,317.32,35.01,63.67,0
Madhya Pradesh,2022,8,339.24,26.18,30.09,0
Punjab,2023,1,51.97,32.22,93.32,0
Madhya Pradesh,2022,6,538.82,18.52,88.41,0
Punjab,2023,5,119.65,35.17,59.77,0
Uttar Pradesh,2022,3,65.72,24.66,34.27,0
Uttar Pradesh,2022,10,41.95,23.43,61.47,0
Madhya Pradesh,2022,8,498.98,28.42,33.76,0
Maharashtra,2024,3,144.09,38.74,81.04,0
Maharashtra,2021,9,596.53,29.98,92.58,0
Maharashtra,2023,12,20.58,26.04,44.65,0
Punjab,2020,5,37.42,21.1,70.46,0
Karnataka,2021,7,512.53,30.72,39.55,0
Madhya Pradesh,2023,6,524.45,31.99,55.23,0
Karnataka,2023,11,104.38,23.72,52.44,0
Karnataka,2020,7,566.99,24.39,60.55,0
Maharashtra,2024,5,134.62,33.57,34.04,0
Karnataka,2023,11,30.62,18.17,71.01,0
Uttar Pradesh,2021,6,379.07,20.95,92.27,0
Uttar Pradesh,2021,3,84.15,23.32,62.54,0
Madhya Pradesh,2024,1,105.15,19.68,47.86,0
Karnataka,2020,12,122.98,28.11,65.53,0
Maharashtra,2022,11,70.59,18.97,40.77,0
Punjab,2023,2,72.38,22.6,33.25,0
Maharashtra,2022,4,128.11,39.59,81.55,0
Maharashtra,2020,10,129.53,23.32,92.44,0
Punjab,2023,3,37.57,38.93,94.66,0
Maharashtra,2024,4,109.64,39.59,67.02,0
Maharashtra,2020,9,303.82,27.61,68.58,0
Punjab,2024,3,20.23,31.69,93.78,0
Karnataka,2023,8,276.04,35.44,89.01,0
Uttar Pradesh,2022,11,142.12,39.12,63.89,0
Uttar Pradesh,2023,4,146.82,34.66,40.51,0
Maharashtra,2023,10,76.77,33.8,46.08,0
Maharashtra,2020,10,99.69,32.67,40.58,0
Karnataka,2021,9,426.03,34.98,62.43,0
Madhya Pradesh,2023,9,204.84,18.2,53.21,0
Punjab,2024,11,139.67,23.03,71.23,0
Madhya Pradesh,2023,9,288.83,25.08,85.12,0
Madhya Pradesh,2020,12,112.04,20.1,57.87,0
Madhya Pradesh,2021,6,211.67,28.58,73.06,0
Uttar Pradesh,2020,3,26.59,24.36,55.86,0
Uttar Pradesh,2023,3,138.73,39.85,32.92,0
Punjab,2021,12,116.54,26.18,55.51,0
Karnataka,2024,1,115.6,38.21,91.81,0
Karnataka,2022,10,90.8,25.86,81.19,0
Karnataka,2022,3,45.14,30.41,53.31,0
Punjab,2023,10,101.93,23.29,42.45,0
Madhya Pradesh,2023,7,567.3,20.24,62.89,0
Karnataka,2021,12,40.92,18.86,32.34,0
Karnataka,2023,5,34.53,37.07,48.36,0
Uttar Pradesh,2020,7,580.18,30.8,58.38,0
Punjab,2022,3,91.21,29.37,79.32,0
Karnataka,2024,9,313.0,25.77,88.12,0
Madhya Pradesh,2021,9,578.58,37.64,57.26,0
Uttar Pradesh,2020,3,119.25,28.48,62.34,0
Punjab,2021,1,38.66,31.0,42.1,0
Punjab,2023,1,56.42,36.81,43.46,0
Punjab,2023,2,19.96,19.52,91.15,0
Punjab,2020,9,402.77,27.01,82.71,0
Karnataka,2023,4,127.02,25.31,75.09,0
Punjab,2023,10,117.96,32.4,39.85,0
Uttar Pradesh,2024,12,132.62,29.86,48.36,0
Punjab,2023,11,69.53,18.83,38.31,0
Karnataka,2023,4,117.18,18.0,57.08,0
Madhya Pradesh,2022,8,409.0,19.2,93.25,0
Madhya Pradesh,2023,1,41.66,24.69,49.76,0
Uttar Pradesh,2024,3,42.26,18.03,77.41,0
Madhya Pradesh,2021,4,145.36,22.93,73.1,0
Karnataka,2020,3,113.87,36.67,57.47,0
Madhya Pradesh,2020,11,52.41,25.16,76.32,0
Maharashtra,2023,5,124.35,22.0,54.11,0
Maharashtra,2022,2,136.27,35.75,94.02,0
Karnataka,2023,8,501.7,26.65,68.39,0
Punjab,2022,12,102.54,19.73,65.39,0
Madhya Pradesh,2020,4,109.3,21.68,80.74,0
Maharashtra,2022,4,91.73,38.95,32.76,0
Karnataka,2023,5,47.15,31.23,49.28,0
Karnataka,2024,2,110.02,34.7,36.66,0
Uttar Pradesh,2023,2,81.94,29.2,54.0,0
Uttar Pradesh,2021,5,140.61,36.21,75.32,0
Uttar Pradesh,2022,3,110.01,28.16,89.86,0
Maharashtra,2023,8,477.84,34.04,86.01,0
Uttar Pradesh,2021,12,48.37,35.76,42.69,0
Maharashtra,2024,8,338.14,25.38,93.6,0
Madhya Pradesh,2020,12,129.92,33.43,77.26,0
Karnataka,2024,4,88.69,38.84,62.26,0
Uttar Pradesh,2022,4,63.27,21.59,81.1,0
Maharashtra,2022,12,112.82,26.46,31.64,0
Madhya Pradesh,2022,1,127.46,18.25,75.74,0
Madhya Pradesh,2020,1,145.84,27.63,45.27,0
Punjab,2020,12,108.68,35.98,65.52,0
Uttar Pradesh,2023,8,586.81,19.14,62.81,0
Karnataka,2020,4,110.58,36.98,41.65,0
Maharashtra,2024,8,520.0,30.16,55.78,0
Madhya Pradesh,2022,9,252.69,37.04,40.22,0
Punjab,2020,5,53.37,24.38,86.64,0
Uttar Pradesh,2021,2,104.18,35.53,46.28,0
Uttar Pradesh,2020,6,449.95,30.58,84.13,0
Maharashtra,2024,3,136.85,18.27,73.81,0
Punjab,2022,6,220.73,30.07,48.7,0
Madhya Pradesh,2024,7,322.71,25.77,70.38,0
Uttar Pradesh,2024,3,56.77,34.12,56.29,0
Punjab,2024,11,19.57,35.24,48.57,0
Maharashtra,2022,8,373.11,33.08,51.61,0
Punjab,2021,10,17.92,26.23,91.39,0
Uttar Pradesh,2023,10,99.84,32.77,71.1,0
Maharashtra,2024,1,37.86,27.2,78.81,0
Maharashtra,2021,10,24.19,24.11,47.96,0
Karnataka,2022,9,372.81,39.57,34.39,0
Uttar Pradesh,2021,8,407.48,21.95,93.09,0
Maharashtra,2021,10,25.86,26.88,77.96,0
Maharashtra,2023,11,108.64,27.3,52.52,0
Punjab,2023,10,65.67,23.81,43.35,0
Uttar Pradesh,2024,4,77.63,23.91,48.69,0
Karnataka,2023,12,101.95,39.31,69.24,0
Madhya Pradesh,2020,8,230.79,19.66,91.84,0
Uttar Pradesh,2021,11,51.62,20.03,68.94,0
Maharashtra,2020,5,97.31,32.27,47.38,0
Punjab,2022,10,12.12,39.23,46.31,0
Madhya Pradesh,2022,6,470.41,33.55,69.65,0
Madhya Pradesh,2020,11,53.81,23.96,68.85,0
Madhya Pradesh,2021,1,131.25,38.83,36.88,0
Madhya Pradesh,2022,2,31.68,38.78,77.87,0
Karnataka,2024,1,133.62,22.46,68.19,0
Uttar Pradesh,2020,4,108.16,32.96,56.53,0
Punjab,2021,2,12.16,30.82,46.45,0
Uttar Pradesh,2022,3,73.04,39.07,55.94,0
Maharashtra,2021,8,535.92,22.15,73.71,0
Maharashtra,2024,5,146.78,20.24,30.54,0
Uttar Pradesh,2023,3,70.7,20.04,78.64,0
Karnataka,2021,11,138.04,27.55,46.82,0
Karnataka,2023,1,70.82,33.92,30.59,0
Uttar Pradesh,2022,10,92.52,31.49,71.45,0
Uttar Pradesh,2020,10,43.88,33.71,35.94,0
Maharashtra,2023,11,37.9,37.3,78.02,0
Punjab,2020,5,11.92,23.46,43.94,0
Karnataka,2022,8,308.32,23.45,34.06,0
Madhya Pradesh,2023,11,74.25,34.12,69.44,0
Uttar Pradesh,2024,4,104.2,19.79,91.85,0
Uttar Pradesh,2023,3,127.39,35.71,83.49,0
Madhya Pradesh,2024,3,140.58,29.97,43.02,0
Uttar Pradesh,2024,9,446.71,34.34,77.96,0
Maharashtra,2022,6,408.58,19.51,54.12,0
Maharashtra,2021,4,138.91,30.86,64.99,0
